budget,genres,keywords,original language,popularity,production company,release date,revenue,runtime,title,vote average,vote count
237000000,"Action,Adventure,Fantasy,Science Fiction,,","culture clash,future,space war,space colony,society,space travel,futuristic,romance,space,alien,tribe,alien planet",en,150.437577,"Ingenious Film Partners,Twentieth Century Fox Film Corporation,Dune Entertainment,Lightstorm Entertainment,,,,,,",12/10/09,2787965087,162,Avatar,7.2,11800
300000000,"Adventure,Fantasy,Action,,,","ocean,drug abuse,exotic island,east india trading company,love of one's life,traitor,shipwreck,strong woman,ship,alliance,calypso,afterlife",en,139.082615,"Walt Disney Pictures,Jerry Bruckheimer Films,Second Mate Productions,,,,,,,",5/19/07,961000000,169,Pirates of the Caribbean: At World's End,6.9,4500
245000000,"Action,Adventure,Crime,,,","spy,based on novel,secret agent,sequel,mi6,british secret service,united kingdom,,,,,",en,107.376788,"Columbia Pictures,Danjaq,B24,,,,,,,",10/26/15,880674609,148,Spectre,6.3,4466
250000000,"Action,Crime,Drama,Thriller,,","dc comics,crime fighter,terrorist,secret identity,burglar,hostage drama,time bomb,gotham city,vigilante,cover-up,superhero,villainess",en,112.31295,"Legendary Pictures,Warner Bros.,DC Entertainment,Syncopy,,,,,,",7/16/12,1084939099,165,The Dark Knight Rises,7.6,9106
260000000,"Action,Adventure,Science Fiction,,,","based on novel,mars,medallion,space travel,princess,alien,steampunk,martian,escape,edgar rice burroughs,alien race,superhuman strength",en,43.926995,"Walt Disney Pictures,,,,,,,,,",3/7/12,284139100,132,John Carter,6.1,2124
258000000,"Fantasy,Action,Adventure,,,","dual identity,amnesia,sandstorm,love of one's life,forgiveness,spider,wretch,death of a friend,egomania,sand,narcism,hostility",en,115.699814,"Columbia Pictures,Laura Ziskin Productions,Marvel Enterprises,,,,,,,",5/1/07,890871626,139,Spider-Man 3,5.9,3576
260000000,"Animation,Family,,,,","hostage,magic,horse,fairy tale,musical,princess,animation,tower,blonde woman,selfishness,healing power,based on fairy tale",en,48.681969,"Walt Disney Pictures,Walt Disney Animation Studios,,,,,,,,",11/24/10,591794936,100,Tangled,7.4,3330
280000000,"Action,Adventure,Science Fiction,,,","marvel comic,sequel,superhero,based on comic book,vision,superhero team,duringcreditsstinger,marvel cinematic universe,3d,,,",en,134.279229,"Marvel Studios,Prime Focus,Revolution Sun Studios,,,,,,,",4/22/15,1405403694,141,Avengers: Age of Ultron,7.3,6767
250000000,"Adventure,Fantasy,Family,,,","witch,magic,broom,school of witchcraft,wizardry,apparition,teenage crush,werewolf,,,,",en,98.885637,"Warner Bros.,Heyday Films,,,,,,,,",7/7/09,933959197,153,Harry Potter and the Half-Blood Prince,7.4,5293
250000000,"Action,Adventure,Fantasy,,,","dc comics,vigilante,superhero,based on comic book,revenge,super powers,clark kent,bruce wayne,dc extended universe,,,",en,155.790452,"DC Comics,Atlas Entertainment,Warner Bros.,DC Entertainment,Cruel & Unusual Films,RatPac-Dune Entertainment,,,,",3/23/16,873260194,151,Batman v Superman: Dawn of Justice,5.7,7004
270000000,"Adventure,Fantasy,Action,Science Fiction,,","saving the world,dc comics,invulnerability,sequel,superhero,based on comic book,kryptonite,super powers,superhuman strength,lex luthor,,",en,57.925623,"DC Comics,Legendary Pictures,Warner Bros.,Bad Hat Harry Productions,,,,,,",6/28/06,391081192,154,Superman Returns,5.4,1400
200000000,"Adventure,Action,Thriller,Crime,,","killing,undercover,secret agent,british secret service,,,,,,,,",en,107.928811,"Eon Productions,,,,,,,,,",10/30/08,586090727,106,Quantum of Solace,6.1,2965
200000000,"Adventure,Fantasy,Action,,,","witch,fortune teller,bondage,exotic island,monster,captain,card game,east india trading company,compass,ship,daughter,pirate",en,145.847379,"Walt Disney Pictures,Jerry Bruckheimer Films,Second Mate Productions,,,,,,,",6/20/06,1065659812,151,Pirates of the Caribbean: Dead Man's Chest,7,5246
255000000,"Action,Adventure,Western,,,","texas,horse,survivor,texas ranger,partner,outlaw,escape,lawyer,train,lone ranger,comanche,the lone ranger",en,49.046956,"Walt Disney Pictures,Jerry Bruckheimer Films,Infinitum Nihil,Silver Bullet Productions (II),Blind Wink Productions,Classic Media,,,,",7/3/13,89289910,149,The Lone Ranger,5.9,2311
225000000,"Action,Adventure,Fantasy,Science Fiction,,","saving the world,dc comics,superhero,based on comic book,superhuman,alien invasion,reboot,super powers,dc extended universe,,,",en,99.398009,"Legendary Pictures,Warner Bros.,DC Entertainment,Syncopy,Cruel and Unusual Films,,,,,",6/12/13,662845518,143,Man of Steel,6.5,6359
225000000,"Adventure,Family,Fantasy,,,","based on novel,fictional place,brother sister relationship,lion,human being,wretch,leap in time,matter of life and death,faith,uncle,narnia,fantasy world",en,53.978602,"Walt Disney,Walden Media,Stillking Films,Ozumi Films,Propeler,Silverbell Films,Revolution Sun Studios,,,",5/15/08,419651413,150,The Chronicles of Narnia: Prince Caspian,6.3,1630
